glyph,unicode,sjeng,xu,hey,tonk,dew,polyhedron中古全拼,fanqie
東,U+6771,端,開,東,一,平,tung,德紅
菄,U+83C4,端,開,東,一,平,tung,德紅
鶇,U+9D87,端,開,東,一,平,tung,德紅
䍶,U+4376,端,開,東,一,平,tung,德紅
𠍀,U+20340,端,開,東,一,平,tung,德紅
倲,U+5032,端,開,東,一,平,tung,德紅
𩜍,U+2970D,端,開,東,一,平,tung,德紅
𢘐,U+22610,端,開,東,一,平,tung,德紅
涷,U+6DB7,端,開,東,一,平,tung,德紅
蝀,U+8740,端,開,東,一,平,tung,德紅
凍,U+51CD,端,開,東,一,平,tung,德紅
鯟,U+9BDF,端,開,東,一,平,tung,德紅
𢔅,U+22505,端,開,東,一,平,tung,德紅
崠,U+5D20,端,開,東,一,平,tung,德紅
埬,U+57EC,端,開,東,一,平,tung,德紅
𧓕,U+274D5,端,開,東,一,平,tung,德紅
䰤,U+4C24,端,開,東,一,平,tung,德紅
同,U+540C,定,開,東,一,平,dung,徒紅
仝,U+4EDD,定,開,東,一,平,dung,徒紅
童,U+7AE5,定,開,東,一,平,dung,徒紅
僮,U+50EE,定,開,東,一,平,dung,徒紅
銅,U+9285,定,開,東,一,平,dung,徒紅
桐,U+6850,定,開,東,一,平,dung,徒紅
峒,U+5CD2,定,開,東,一,平,dung,徒紅
硐,U+7850,定,開,東,一,平,dung,徒紅
𦨴,U+26A34,定,開,東,一,平,dung,徒紅
𧱁,U+27C41,定,開,東,一,平,dung,徒紅
筒,U+7B52,定,開,東,一,平,dung,徒紅
瞳,U+77B3,定,開,東,一,平,dung,徒紅
㼧,U+3F27,定,開,東,一,平,dung,徒紅
𤭁,U+24B41,定,開,東,一,平,dung,徒紅
罿,U+7F7F,定,開,東,一,平,dung,徒紅
犝,U+729D,定,開,東,一,平,dung,徒紅
筩,U+7B69,定,開,東,一,平,dung,徒紅
潼,U+6F7C,定,開,東,一,平,dung,徒紅
曈,U+66C8,定,開,東,一,平,dung,徒紅
洞,U+6D1E,定,開,東,一,平,dung,徒紅
侗,U+4F97,定,開,東,一,平,dung,徒紅
橦,U+6A66,定,開,東,一,平,dung,徒紅
烔,U+70D4,定,開,東,一,平,dung,徒紅
䴀,U+4D00,定,開,東,一,平,dung,徒紅
挏,U+630F,定,開,東,一,平,dung,徒紅
酮,U+916E,定,開,東,一,平,dung,徒紅
鮦,U+9BA6,定,開,東,一,平,dung,徒紅
㼿,U+3F3F,定,開,東,一,平,dung,徒紅
𦏆,U+263C6,定,開,東,一,平,dung,徒紅
𦍻,U+2637B,定,開,東,一,平,dung,徒紅
眮,U+772E,定,開,東,一,平,dung,徒紅
蕫,U+856B,定,開,東,一,平,dung,徒紅
穜,U+7A5C,定,開,東,一,平,dung,徒紅
衕,U+8855,定,開,東,一,平,dung,徒紅
𩍅,U+29345,定,開,東,一,平,dung,徒紅
𢈉,U+22209,定,開,東,一,平,dung,徒紅
䆚,U+419A,定,開,東,一,平,dung,徒紅
哃,U+54C3,定,開,東,一,平,dung,徒紅
𢏕,U+223D5,定,開,東,一,平,dung,徒紅
絧,U+7D67,定,開,東,一,平,dung,徒紅
𨚯,U+286AF,定,開,東,一,平,dung,徒紅
𨝯,U+2876F,定,開,東,一,平,dung,徒紅
𪔝,U+2A51D,定,開,東,一,平,dung,徒紅
𩦶,U+299B6,定,開,東,一,平,dung,徒紅
𪒿,U+2A4BF,定,開,東,一,平,dung,徒紅
中,U+4E2D,知,開,東,三,平,triung,陟弓
衷,U+8877,知,開,東,三,平,triung,陟弓
忠,U+5FE0,知,開,東,三,平,triung,陟弓
𦬕,U+26B15,知,開,東,三,平,triung,陟弓
蟲,U+87F2,澄,開,東,三,平,driung,直弓
沖,U+6C96,澄,開,東,三,平,driung,直弓
种,U+79CD,澄,開,東,三,平,driung,直弓
盅,U+76C5,澄,開,東,三,平,driung,直弓
爞,U+721E,澄,開,東,三,平,driung,直弓
𦬕,U+26B15,澄,開,東,三,平,driung,直弓
翀,U+7FC0,澄,開,東,三,平,driung,直弓
終,U+7D42,章,開,東,三,平,cjung,職戎
衆,U+8846,章,開,東,三,平,cjung,職戎
潨,U+6F68,章,開,東,三,平,cjung,職戎
𣧩,U+239E9,章,開,東,三,平,cjung,職戎
螽,U+87BD,章,開,東,三,平,cjung,職戎
𧑄,U+27444,章,開,東,三,平,cjung,職戎
鼨,U+9F28,章,開,東,三,平,cjung,職戎
蔠,U+8520,章,開,東,三,平,cjung,職戎
柊,U+67CA,章,開,東,三,平,cjung,職戎
𩅧,U+29167,章,開,東,三,平,cjung,職戎
䶱,U+4DB1,章,開,東,三,平,cjung,職戎
鴤,U+9D24,章,開,東,三,平,cjung,職戎
䈺,U+423A,章,開,東,三,平,cjung,職戎
泈,U+6CC8,章,開,東,三,平,cjung,職戎
䝦,U+4766,章,開,東,三,平,cjung,職戎
忡,U+5FE1,徹,開,東,三,平,thriung,敕中
浺,U+6D7A,徹,開,東,三,平,thriung,敕中
盅,U+76C5,徹,開,東,三,平,thriung,敕中
崇,U+5D07,崇,開,東,三,平,zriung,鋤弓
崈,U+5D08,崇,開,東,三,平,zriung,鋤弓
㓽,U+34FD,崇,開,東,三,平,zriung,鋤弓
𩞉,U+29789,崇,開,東,三,平,zriung,鋤弓
嵩,U+5D69,心,開,東,三,平,siung,息弓
崧,U+5D27,心,開,東,三,平,siung,息弓
𪀚,U+2A01A,心,開,東,三,平,siung,息弓
娀,U+5A00,心,開,東,三,平,siung,息弓
菘,U+83D8,心,開,東,三,平,siung,息弓
硹,U+7879,心,開,東,三,平,siung,息弓
㣝,U+38DD,心,開,東,三,平,siung,息弓
𧊕,U+27295,心,開,東,三,平,siung,息弓
𨱿,U+28C7F,心,開,東,三,平,siung,息弓
戎,U+620E,日,開,東,三,平,njung,如融
𢦦,U+229A6,日,開,東,三,平,njung,如融
茙,U+8319,日,開,東,三,平,njung,如融
㭜,U+3B5C,日,開,東,三,平,njung,如融
駥,U+99E5,日,開,東,三,平,njung,如融
𥬪,U+25B2A,日,開,東,三,平,njung,如融
𠈋,U+2020B,日,開,東,三,平,njung,如融
狨,U+72E8,日,開,東,三,平,njung,如融
絨,U+7D68,日,開,東,三,平,njung,如融
弓,U+5F13,見,開,東,三,平,kiung,居戎
躳,U+8EB3,見,開,東,三,平,kiung,居戎
躬,U+8EAC,見,開,東,三,平,kiung,居戎
㴦,U+3D26,見,開,東,三,平,kiung,居戎
宮,U+5BAE,見,開,東,三,平,kiung,居戎
匑,U+5311,見,開,東,三,平,kiung,居戎
融,U+878D,以,開,東,三,平,jung,以戎
肜,U+809C,以,開,東,三,平,jung,以戎
瀜,U+701C,以,開,東,三,平,jung,以戎
雄,U+96C4,云,開,東,三,平,iung,羽弓
熊,U+718A,云,開,東,三,平,iung,羽弓
瞢,U+77A2,明,開,東,三,平,miung,莫中
夢,U+5922,明,開,東,三,平,miung,莫中
𨞯,U+287AF,明,開,東,三,平,miung,莫中
懜,U+61DC,明,開,東,三,平,miung,莫中
𦫰,U+26AF0,明,開,東,三,平,miung,莫中
𧲎,U+27C8E,明,開,東,三,平,miung,莫中
穹,U+7A79,溪,開,東,三,平,khiung,去宮
𢞏,U+2278F,溪,開,東,三,平,khiung,去宮
焪,U+712A,溪,開,東,三,平,khiung,去宮
芎,U+828E,溪,開,東,三,平,khiung,去宮
𦵡,U+26D61,溪,開,東,三,平,khiung,去宮
匑,U+5311,溪,開,東,三,平,khiung,去宮
𥳎,U+25CCE,溪,開,東,三,平,khiung,去宮
窮,U+7AAE,群,開,東,三,平,giung,渠弓
藭,U+85ED,群,開,東,三,平,giung,渠弓
𥨪,U+25A2A,群,開,東,三,平,giung,渠弓
馮,U+99AE,並,開,東,三,平,biung,房戎
堸,U+5838,並,開,東,三,平,biung,房戎
汎,U+6C4E,並,開,東,三,平,biung,房戎
芃,U+8283,並,開,東,三,平,biung,房戎
𨝭,U+2876D,並,開,東,三,平,biung,房戎
渢,U+6E22,並,開,東,三,平,biung,房戎
梵,U+68B5,並,開,東,三,平,biung,房戎
風,U+98A8,幫,開,東,三,平,piung,方戎
飌,U+98CC,幫,開,東,三,平,piung,方戎
楓,U+6953,幫,開,東,三,平,piung,方戎
猦,U+7326,幫,開,東,三,平,piung,方戎
偑,U+5051,幫,開,東,三,平,piung,方戎
檒,U+6A92,幫,開,東,三,平,piung,方戎
𧆉,U+27189,幫,開,東,三,平,piung,方戎
豐,U+8C50,滂,開,東,三,平,phiung,敷空
酆,U+9146,滂,開,東,三,平,phiung,敷空
蘴,U+8634,滂,開,東,三,平,phiung,敷空
灃,U+7043,滂,開,東,三,平,phiung,敷空
寷,U+5BF7,滂,開,東,三,平,phiung,敷空
麷,U+9EB7,滂,開,東,三,平,phiung,敷空
㒥,U+34A5,滂,開,東,三,平,phiung,敷空
㠦,U+3826,滂,開,東,三,平,phiung,敷空
充,U+5145,昌,開,東,三,平,chjung,昌終
珫,U+73EB,昌,開,東,三,平,chjung,昌終
茺,U+833A,昌,開,東,三,平,chjung,昌終
㤝,U+391D,昌,開,東,三,平,chjung,昌終
䘪,U+462A,昌,開,東,三,平,chjung,昌終
𪎽,U+2A3BD,昌,開,東,三,平,chjung,昌終
㳘,U+3CD8,昌,開,東,三,平,chjung,昌終
隆,U+9686,來,開,東,三,平,liung,力中
癃,U+7643,來,開,東,三,平,liung,力中
𪔳,U+2A533,來,開,東,三,平,liung,力中
窿,U+7ABF,來,開,東,三,平,liung,力中
霳,U+9733,來,開,東,三,平,liung,力中
㚅,U+3685,來,開,東,三,平,liung,力中
空,U+7A7A,溪,開,東,一,平,khung,苦紅
箜,U+7B9C,溪,開,東,一,平,khung,苦紅
崆,U+5D06,溪,開,東,一,平,khung,苦紅
椌,U+690C,溪,開,東,一,平,khung,苦紅
硿,U+787F,溪,開,東,一,平,khung,苦紅
䅝,U+415D,溪,開,東,一,平,khung,苦紅
悾,U+60BE,溪,開,東,一,平,khung,苦紅
埪,U+57EA,溪,開,東,一,平,khung,苦紅
倥,U+5025,溪,開,東,一,平,khung,苦紅
涳,U+6DB3,溪,開,東,一,平,khung,苦紅
鵼,U+9D7C,溪,開,東,一,平,khung,苦紅
𦱇,U+26C47,溪,開,東,一,平,khung,苦紅
𢃐,U+220D0,溪,開,東,一,平,khung,苦紅
𧌆,U+27306,溪,開,東,一,平,khung,苦紅
公,U+516C,見,開,東,一,平,kung,古紅
功,U+529F,見,開,東,一,平,kung,古紅
工,U+5DE5,見,開,東,一,平,kung,古紅
疘,U+7598,見,開,東,一,平,kung,古紅
蚣,U+86A3,見,開,東,一,平,kung,古紅
玒,U+7392,見,開,東,一,平,kung,古紅
釭,U+91ED,見,開,東,一,平,kung,古紅
魟,U+9B5F,見,開,東,一,平,kung,古紅
攻,U+653B,見,開,東,一,平,kung,古紅
㓚,U+34DA,見,開,東,一,平,kung,古紅
愩,U+6129,見,開,東,一,平,kung,古紅
碽,U+78BD,見,開,東,一,平,kung,古紅
篢,U+7BE2,見,開,東,一,平,kung,古紅
蒙,U+8499,明,開,東,一,平,mung,莫紅
冡,U+51A1,明,開,東,一,平,mung,莫紅
濛,U+6FDB,明,開,東,一,平,mung,莫紅
𩦺,U+299BA,明,開,東,一,平,mung,莫紅
艨,U+8268,明,開,東,一,平,mung,莫紅
䑃,U+4443,明,開,東,一,平,mung,莫紅
矇,U+77C7,明,開,東,一,平,mung,莫紅
饛,U+995B,明,開,東,一,平,mung,莫紅
䰒,U+4C12,明,開,東,一,平,mung,莫紅
檬,U+6AAC,明,開,東,一,平,mung,莫紅
𨢊,U+2888A,明,開,東,一,平,mung,莫紅
䴿,U+4D3F,明,開,東,一,平,mung,莫紅
𨣘,U+288D8,明,開,東,一,平,mung,莫紅
鸏,U+9E0F,明,開,東,一,平,mung,莫紅
幪,U+5E6A,明,開,東,一,平,mung,莫紅
罞,U+7F5E,明,開,東,一,平,mung,莫紅
𢄐,U+22110,明,開,東,一,平,mung,莫紅
髳,U+9AF3,明,開,東,一,平,mung,莫紅
蠓,U+8813,明,開,東,一,平,mung,莫紅
𦿏,U+26FCF,明,開,東,一,平,mung,莫紅
雺,U+96FA,明,開,東,一,平,mung,莫紅
霿,U+973F,明,開,東,一,平,mung,莫紅
霚,U+971A,明,開,東,一,平,mung,莫紅
朦,U+6726,明,開,東,一,平,mung,莫紅
䀄,U+4004,明,開,東,一,平,mung,莫紅
懜,U+61DC,明,開,東,一,平,mung,莫紅
霥,U+9725,明,開,東,一,平,mung,莫紅
籠,U+7C60,來,開,東,一,平,lung,盧紅
豅,U+8C45,來,開,東,一,平,lung,盧紅
㰍,U+3C0D,來,開,東,一,平,lung,盧紅
朧,U+6727,來,開,東,一,平,lung,盧紅
𡃡,U+210E1,來,開,東,一,平,lung,盧紅
龓,U+9F93,來,開,東,一,平,lung,盧紅
䪊,U+4A8A,來,開,東,一,平,lung,盧紅
瀧,U+7027,來,開,東,一,平,lung,盧紅
聾,U+807E,來,開,東,一,平,lung,盧紅
𨏠,U+283E0,來,開,東,一,平,lung,盧紅
礱,U+7931,來,開,東,一,平,lung,盧紅
䆍,U+418D,來,開,東,一,平,lung,盧紅
𪚗,U+2A697,來,開,東,一,平,lung,盧紅
嚨,U+56A8,來,開,東,一,平,lung,盧紅
蘢,U+8622,來,開,東,一,平,lung,盧紅
櫳,U+6AF3,來,開,東,一,平,lung,盧紅
𤮨,U+24BA8,來,開,東,一,平,lung,盧紅
巃,U+5DC3,來,開,東,一,平,lung,盧紅
襱,U+8971,來,開,東,一,平,lung,盧紅
𧙥,U+27665,來,開,東,一,平,lung,盧紅
瓏,U+74CF,來,開,東,一,平,lung,盧紅
曨,U+66E8,來,開,東,一,平,lung,盧紅
鸗,U+9E17,來,開,東,一,平,lung,盧紅
𩟭,U+297ED,來,開,東,一,平,lung,盧紅
蠪,U+882A,來,開,東,一,平,lung,盧紅
㟅,U+37C5,來,開,東,一,平,lung,盧紅
屸,U+5C78,來,開,東,一,平,lung,盧紅
洪,U+6D2A,匣,開,東,一,平,ghung,戸公
鉷,U+9277,匣,開,東,一,平,ghung,戸公
訌,U+8A0C,匣,開,東,一,平,ghung,戸公
紅,U+7D05,匣,開,東,一,平,ghung,戸公
虹,U+8679,匣,開,東,一,平,ghung,戸公
仜,U+4EDC,匣,開,東,一,平,ghung,戸公
鴻,U+9D3B,匣,開,東,一,平,ghung,戸公
葒,U+8452,匣,開,東,一,平,ghung,戸公
葓,U+8453,匣,開,東,一,平,ghung,戸公
谼,U+8C3C,匣,開,東,一,平,ghung,戸公
䉺,U+427A,匣,開,東,一,平,ghung,戸公
烘,U+70D8,匣,開,東,一,平,ghung,戸公
洚,U+6D1A,匣,開,東,一,平,ghung,戸公
渱,U+6E31,匣,開,東,一,平,ghung,戸公
𨹁,U+28E41,匣,開,東,一,平,ghung,戸公
魟,U+9B5F,匣,開,東,一,平,ghung,戸公
䧆,U+49C6,匣,開,東,一,平,ghung,戸公
䪦,U+4AA6,匣,開,東,一,平,ghung,戸公
𦏺,U+263FA,匣,開,東,一,平,ghung,戸公
䫹,U+4AF9,匣,開,東,一,平,ghung,戸公
䂫,U+40AB,匣,開,東,一,平,ghung,戸公
𨾊,U+28F8A,匣,開,東,一,平,ghung,戸公
叢,U+53E2,從,開,東,一,平,zung,徂紅
藂,U+85C2,從,開,東,一,平,zung,徂紅
䕺,U+457A,從,開,東,一,平,zung,徂紅
潨,U+6F68,從,開,東,一,平,zung,徂紅
𥵫,U+25D6B,從,開,東,一,平,zung,徂紅
翁,U+7FC1,影,開,東,一,平,qung,烏紅
螉,U+8789,影,開,東,一,平,qung,烏紅
䱵,U+4C75,影,開,東,一,平,qung,烏紅
蓊,U+84CA,影,開,東,一,平,qung,烏紅
䈵,U+4235,影,開,東,一,平,qung,烏紅
䩺,U+4A7A,影,開,東,一,平,qung,烏紅
㮬,U+3BAC,影,開,東,一,平,qung,烏紅
𩔚,U+2951A,影,開,東,一,平,qung,烏紅
怱,U+6031,清,開,東,一,平,chung,倉紅
忩,U+5FE9,清,開,東,一,平,chung,倉紅
葱,U+8471,清,開,東,一,平,chung,倉紅
楤,U+6964,清,開,東,一,平,chung,倉紅
𨍉,U+28349,清,開,東,一,平,chung,倉紅
聦,U+8066,清,開,東,一,平,chung,倉紅
繱,U+7E71,清,開,東,一,平,chung,倉紅
𤧚,U+249DA,清,開,東,一,平,chung,倉紅
騘,U+9A18,清,開,東,一,平,chung,倉紅
䗓,U+45D3,清,開,東,一,平,chung,倉紅
囪,U+56EA,清,開,東,一,平,chung,倉紅
𨣭,U+288ED,清,開,東,一,平,chung,倉紅
鍯,U+936F,清,開,東,一,平,chung,倉紅
㷓,U+3DD3,清,開,東,一,平,chung,倉紅
𢉛,U+2225B,清,開,東,一,平,chung,倉紅
通,U+901A,透,開,東,一,平,thung,他紅
蓪,U+84EA,透,開,東,一,平,thung,他紅
侗,U+4F97,透,開,東,一,平,thung,他紅
恫,U+606B,透,開,東,一,平,thung,他紅
痌,U+75CC,透,開,東,一,平,thung,他紅
曈,U+66C8,透,開,東,一,平,thung,他紅
俑,U+4FD1,透,開,東,一,平,thung,他紅
𧳆,U+27CC6,透,開,東,一,平,thung,他紅
𨀜,U+2801C,透,開,東,一,平,thung,他紅
葼,U+847C,精,開,東,一,平,cung,子紅
鬷,U+9B37,精,開,東,一,平,cung,子紅
嵕,U+5D55,精,開,東,一,平,cung,子紅
猣,U+7323,精,開,東,一,平,cung,子紅
豵,U+8C75,精,開,東,一,平,cung,子紅
鯼,U+9BFC,精,開,東,一,平,cung,子紅
椶,U+6936,精,開,東,一,平,cung,子紅
騣,U+9A23,精,開,東,一,平,cung,子紅
𩮀,U+29B80,精,開,東,一,平,cung,子紅
䗥,U+45E5,精,開,東,一,平,cung,子紅
嵸,U+5D78,精,開,東,一,平,cung,子紅
艐,U+8250,精,開,東,一,平,cung,子紅
蝬,U+876C,精,開,東,一,平,cung,子紅
堫,U+582B,精,開,東,一,平,cung,子紅
𥓻,U+254FB,精,開,東,一,平,cung,子紅
翪,U+7FEA,精,開,東,一,平,cung,子紅
緵,U+7DF5,精,開,東,一,平,cung,子紅
㚇,U+3687,精,開,東,一,平,cung,子紅
㣭,U+38ED,精,開,東,一,平,cung,子紅
稯,U+7A2F,精,開,東,一,平,cung,子紅
鬉,U+9B09,精,開,東,一,平,cung,子紅
蓬,U+84EC,並,開,東,一,平,bung,薄紅
𥭗,U+25B57,並,開,東,一,平,bung,薄紅
篷,U+7BF7,並,開,東,一,平,bung,薄紅
髼,U+9AFC,並,開,東,一,平,bung,薄紅
蜂,U+8702,並,開,東,一,平,bung,薄紅
芃,U+8283,並,開,東,一,平,bung,薄紅
𧚋,U+2768B,並,開,東,一,平,bung,薄紅
韸,U+97F8,並,開,東,一,平,bung,薄紅
䮾,U+4BBE,並,開,東,一,平,bung,薄紅
𩖛,U+2959B,並,開,東,一,平,bung,薄紅
烘,U+70D8,曉,開,東,一,平,hung,呼東
叿,U+53FF,曉,開,東,一,平,hung,呼東
魟,U+9B5F,曉,開,東,一,平,hung,呼東
谾,U+8C3E,曉,開,東,一,平,hung,呼東
𩐠,U+29420,曉,開,東,一,平,hung,呼東
𩗄,U+295C4,曉,開,東,一,平,hung,呼東
㟅,U+37C5,疑,開,東,一,平,ngung,五東
檧,U+6AA7,心,開,東,一,平,sung,蘇公
憽,U+61BD,心,開,東,一,平,sung,蘇公
㬝,U+3B1D,心,開,東,一,平,sung,蘇公
冬,U+51AC,端,開,冬,一,平,tuung,都宗
𠔙,U+20519,端,開,冬,一,平,tuung,都宗
苳,U+82F3,端,開,冬,一,平,tuung,都宗
䳉,U+4CC9,端,開,冬,一,平,tuung,都宗
笗,U+7B17,端,開,冬,一,平,tuung,都宗
𩂓,U+29093,端,開,冬,一,平,tuung,都宗
𧲴,U+27CB4,端,開,冬,一,平,tuung,都宗
彤,U+5F64,定,開,冬,一,平,duung,徒冬
疼,U+75BC,定,開,冬,一,平,duung,徒冬
佟,U+4F5F,定,開,冬,一,平,duung,徒冬
炵,U+70B5,定,開,冬,一,平,duung,徒冬
䳋,U+4CCB,定,開,冬,一,平,duung,徒冬
鼕,U+9F15,定,開,冬,一,平,duung,徒冬
𢥞,U+2295E,定,開,冬,一,平,duung,徒冬
𢾮,U+22FAE,定,開,冬,一,平,duung,徒冬
爞,U+721E,定,開,冬,一,平,duung,徒冬
㤏,U+390F,定,開,冬,一,平,duung,徒冬
痋,U+75CB,定,開,冬,一,平,duung,徒冬
䂈,U+4088,定,開,冬,一,平,duung,徒冬
鉵,U+9275,定,開,冬,一,平,duung,徒冬
𧹝,U+27E5D,定,開,冬,一,平,duung,徒冬
𩦶,U+299B6,定,開,冬,一,平,duung,徒冬
浵,U+6D75,定,開,冬,一,平,duung,徒冬
䶱,U+4DB1,定,開,冬,一,平,duung,徒冬
𠩁,U+20A41,定,開,冬,一,平,duung,徒冬
鉖,U+9256,定,開,冬,一,平,duung,徒冬
𨜳,U+28733,定,開,冬,一,平,duung,徒冬
㠽,U+383D,定,開,冬,一,平,duung,徒冬
赨,U+8D68,定,開,冬,一,平,duung,徒冬
賨,U+8CE8,從,開,冬,一,平,zuung,藏宗
琮,U+742E,從,開,冬,一,平,zuung,藏宗
悰,U+60B0,從,開,冬,一,平,zuung,藏宗
潨,U+6F68,從,開,冬,一,平,zuung,藏宗
淙,U+6DD9,從,開,冬,一,平,zuung,藏宗
慒,U+6152,從,開,冬,一,平,zuung,藏宗
鬃,U+9B03,從,開,冬,一,平,zuung,藏宗
㼻,U+3F3B,從,開,冬,一,平,zuung,藏宗
孮,U+5B6E,從,開,冬,一,平,zuung,藏宗
誴,U+8AB4,從,開,冬,一,平,zuung,藏宗
𢃏,U+220CF,從,開,冬,一,平,zuung,藏宗
農,U+8FB2,泥,開,冬,一,平,nuung,奴冬
䢉,U+4889,泥,開,冬,一,平,nuung,奴冬
辳,U+8FB3,泥,開,冬,一,平,nuung,奴冬
𨑋,U+2844B,泥,開,冬,一,平,nuung,奴冬
𩟊,U+297CA,泥,開,冬,一,平,nuung,奴冬
噥,U+5665,泥,開,冬,一,平,nuung,奴冬
𩅽,U+2917D,泥,開,冬,一,平,nuung,奴冬
憹,U+61B9,泥,開,冬,一,平,nuung,奴冬
㺜,U+3E9C,泥,開,冬,一,平,nuung,奴冬
儂,U+5102,泥,開,冬,一,平,nuung,奴冬
𧗕,U+275D5,泥,開,冬,一,平,nuung,奴冬
膿,U+81BF,泥,開,冬,一,平,nuung,奴冬
攻,U+653B,見,開,冬,一,平,kuung,古冬
釭,U+91ED,見,開,冬,一,平,kuung,古冬
䃔,U+40D4,匣,開,冬,一,平,ghuung,戸冬
洚,U+6D1A,匣,開,冬,一,平,ghuung,戸冬
㗢,U+35E2,匣,開,冬,一,平,ghuung,戸冬
𩘎,U+2960E,匣,開,冬,一,平,ghuung,戸冬
䃧,U+40E7,來,開,冬,一,平,luung,力冬
䥢,U+4962,來,開,冬,一,平,luung,力冬
𣫣,U+23AE3,來,開,冬,一,平,luung,力冬
宗,U+5B97,精,開,冬,一,平,cuung,作冬
倧,U+5027,精,開,冬,一,平,cuung,作冬
鬆,U+9B06,心,開,冬,一,平,suung,私宗
䯳,U+4BF3,心,開,冬,一,平,suung,私宗
炵,U+70B5,透,開,冬,一,平,thuung,他冬
鍾,U+937E,章,開,鍾,三,平,cjyung,職容
鐘,U+9418,章,開,鍾,三,平,cjyung,職容
蚣,U+86A3,章,開,鍾,三,平,cjyung,職容
忪,U+5FEA,章,開,鍾,三,平,cjyung,職容
䇗,U+41D7,章,開,鍾,三,平,cjyung,職容
蹱,U+8E71,章,開,鍾,三,平,cjyung,職容
彸,U+5F78,章,開,鍾,三,平,cjyung,職容
衳,U+8873,章,開,鍾,三,平,cjyung,職容
伀,U+4F00,章,開,鍾,三,平,cjyung,職容
橦,U+6A66,章,開,鍾,三,平,cjyung,職容
籦,U+7C66,章,開,鍾,三,平,cjyung,職容
妐,U+5990,章,開,鍾,三,平,cjyung,職容
㕬,U+356C,章,開,鍾,三,平,cjyung,職容
𧢸,U+278B8,章,開,鍾,三,平,cjyung,職容
炂,U+7082,章,開,鍾,三,平,cjyung,職容
𦬘,U+26B18,章,開,鍾,三,平,cjyung,職容
𨳗,U+28CD7,章,開,鍾,三,平,cjyung,職容
鈆,U+9206,章,開,鍾,三,平,cjyung,職容
龍,U+9F8D,來,開,鍾,三,平,lyung,力鍾
𪚝,U+2A69D,來,開,鍾,三,平,lyung,力鍾
躘,U+8E98,來,開,鍾,三,平,lyung,力鍾
鸗,U+9E17,來,開,鍾,三,平,lyung,力鍾
驡,U+9A61,來,開,鍾,三,平,lyung,力鍾
𪚠,U+2A6A0,來,開,鍾,三,平,lyung,力鍾
籠,U+7C60,來,開,鍾,三,平,lyung,力鍾
𦪽,U+26ABD,來,開,鍾,三,平,lyung,力鍾
蘢,U+8622,來,開,鍾,三,平,lyung,力鍾
舂,U+8202,書,開,鍾,三,平,sjyung,書容
𧐍,U+2740D,書,開,鍾,三,平,sjyung,書容
摏,U+644F,書,開,鍾,三,平,sjyung,書容
蹖,U+8E56,書,開,鍾,三,平,sjyung,書容
𪄻,U+2A13B,書,開,鍾,三,平,sjyung,書容
憃,U+6183,書,開,鍾,三,平,sjyung,書容
松,U+677E,邪,開,鍾,三,平,zsyung,祥容
㮤,U+3BA4,邪,開,鍾,三,平,zsyung,祥容
淞,U+6DDE,邪,開,鍾,三,平,zsyung,祥容
訟,U+8A1F,邪,開,鍾,三,平,zsyung,祥容
𧘂,U+27602,昌,開,鍾,三,平,chjyung,尺容
衝,U+885D,昌,開,鍾,三,平,chjyung,尺容
罿,U+7F7F,昌,開,鍾,三,平,chjyung,尺容
憧,U+61A7,昌,開,鍾,三,平,chjyung,尺容
䡴,U+4874,昌,開,鍾,三,平,chjyung,尺容
艟,U+825F,昌,開,鍾,三,平,chjyung,尺容
潼,U+6F7C,昌,開,鍾,三,平,chjyung,尺容
褈,U+8908,昌,開,鍾,三,平,chjyung,尺容
𠟍,U+207CD,昌,開,鍾,三,平,chjyung,尺容
𠝤,U+20764,昌,開,鍾,三,平,chjyung,尺容
䂌,U+408C,昌,開,鍾,三,平,chjyung,尺容
容,U+5BB9,以,開,鍾,三,平,jyung,餘封
溶,U+6EB6,以,開,鍾,三,平,jyung,餘封
滽,U+6EFD,以,開,鍾,三,平,jyung,餘封
庸,U+5EB8,以,開,鍾,三,平,jyung,餘封
𦤘,U+26918,以,開,鍾,三,平,jyung,餘封
𧴄,U+27D04,以,開,鍾,三,平,jyung,餘封
㺎,U+3E8E,以,開,鍾,三,平,jyung,餘封
𤛑,U+246D1,以,開,鍾,三,平,jyung,餘封
墉,U+5889,以,開,鍾,三,平,jyung,餘封
鎔,U+9394,以,開,鍾,三,平,jyung,餘封
鏞,U+93DE,以,開,鍾,三,平,jyung,餘封
銿,U+92BF,以,開,鍾,三,平,jyung,餘封
鄘,U+9118,以,開,鍾,三,平,jyung,餘封
傭,U+50AD,以,開,鍾,三,平,jyung,餘封
𪅟,U+2A15F,以,開,鍾,三,平,jyung,餘封
㼸,U+3F38,以,開,鍾,三,平,jyung,餘封
𤮇,U+24B87,以,開,鍾,三,平,jyung,餘封
鱅,U+9C45,以,開,鍾,三,平,jyung,餘封
蓉,U+84C9,以,開,鍾,三,平,jyung,餘封
䗤,U+45E4,以,開,鍾,三,平,jyung,餘封
傛,U+509B,以,開,鍾,三,平,jyung,餘封
褣,U+8923,以,開,鍾,三,平,jyung,餘封
搈,U+6408,以,開,鍾,三,平,jyung,餘封
瑢,U+7462,以,開,鍾,三,平,jyung,餘封
䈶,U+4236,以,開,鍾,三,平,jyung,餘封
嵱,U+5D71,以,開,鍾,三,平,jyung,餘封
