glyph,unicode,广韵信息,反切,polyhedron中古全拼,mandarin_pinyin,cantonese_jyutping
忠,U+5FE0,知開三平東,陟弓,triung,zhōng,zung1
𦬕,U+26B15,"澄開三平東
知開三平東","直弓
陟弓","driung
triung",zhōng,zung1
蟲,U+87F2,"澄開三去東
澄開三平東","直衆
直弓","driungh
driung",chóng；tóng；zhòng,cung2；cung4
沖,U+6C96,澄開三平東,直弓,driung,chòng；chōng,cung1
种,U+79CD,"澄開三平東
章開三上鍾
章開三去鍾","直弓
之隴
之用","driung
cjyungx
cjyungh",chóng；zhòng；zhǒng,cung4；zung2；zung3
盅,U+76C5,"徹開三平東
澄開三平東","敕中
直弓","thriung
driung",chōng；zhōng,zung1
爞,U+721E,"定開一平冬
澄開三平東","徒冬
直弓","duung
driung",chóng；tóng,cung4；tung4
翀,U+7FC0,澄開三平東,直弓,driung,chōng,cung1
終,U+7D42,章開三平東,職戎,cjung,zhōng,zung1
衆,U+8846,"章開三去東
章開三平東","之仲
職戎","cjungh
cjung",zhòng；zhōng,zung3
潨,U+6F68,"從開一平冬
從開一平東
章開三平東","藏宗
徂紅
職戎","zuung
zung
cjung",cóng；zōng,zung1
𣧩,U+239E9,章開三平東,職戎,cjung,,
螽,U+87BD,章開三平東,職戎,cjung,zhōng,zung1
𧑄,U+27444,章開三平東,職戎,cjung,,zung1
鼨,U+9F28,章開三平東,職戎,cjung,zhōng,zung1
蔠,U+8520,章開三平東,職戎,cjung,zhōng,zung1
柊,U+67CA,章開三平東,職戎,cjung,zhōng,dung1
𩅧,U+29167,章開三平東,職戎,cjung,zhōng,
䶱,U+4DB1,"定開一平冬
章開三平東","徒冬
職戎","duung
cjung",tóng,tung4
鴤,U+9D24,章開三平東,職戎,cjung,zhōng,zung1
䈺,U+423A,章開三平東,職戎,cjung,zhōng,zung1
泈,U+6CC8,章開三平東,職戎,cjung,zhōng,zung1
䝦,U+4766,章開三平東,職戎,cjung,zhōng,zung1
忡,U+5FE1,徹開三平東,敕中,thriung,chōng,cung1
浺,U+6D7A,徹開三平東,敕中,thriung,chōng,cung1
崇,U+5D07,崇開三平東,鋤弓,zriung,chóng,sung4
崈,U+5D08,崇開三平東,鋤弓,zriung,chóng,sung4
㓽,U+34FD,"崇開三去東
崇開三平東","仕仲
鋤弓","zriungh
zriung",chóng,sung4
𩞉,U+29789,崇開三平東,鋤弓,zriung,chóng,
嵩,U+5D69,心開三平東,息弓,siung,sōng,sung1
崧,U+5D27,心開三平東,息弓,siung,sōng,sung1
𪀚,U+2A01A,心開三平東,息弓,siung,sōng,
娀,U+5A00,心開三平東,息弓,siung,sōng,sung1
菘,U+83D8,心開三平東,息弓,siung,sōng,sung1
硹,U+7879,心開三平東,息弓,siung,sōng,sung1
㣝,U+38DD,心開三平東,息弓,siung,sōng,sung1
𧊕,U+27295,心開三平東,息弓,siung,sōng,
𨱿,U+28C7F,心開三平東,息弓,siung,sōng,
戎,U+620E,日開三平東,如融,njung,róng；rēng,jung4
𢦦,U+229A6,日開三平東,如融,njung,,
茙,U+8319,日開三平東,如融,njung,róng,jung4
㭜,U+3B5C,日開三平東,如融,njung,róng,jung4
駥,U+99E5,日開三平東,如融,njung,róng,jung4
𥬪,U+25B2A,日開三平東,如融,njung,róng,
𠈋,U+2020B,日開三平東,如融,njung,,
狨,U+72E8,日開三平東,如融,njung,róng,jung4
絨,U+7D68,日開三平東,如融,njung,róng,jung2；jung4
弓,U+5F13,見開三平東,居戎,kiung,gōng,gung1
躳,U+8EB3,見開三平東,居戎,kiung,gōng,gung1
躬,U+8EAC,見開三平東,居戎,kiung,gōng,gung1
㴦,U+3D26,見開三平東,居戎,kiung,guàn,gun3；gwun3
宮,U+5BAE,見開三平東,居戎,kiung,gōng,gung1
匑,U+5311,"溪開三平東
見開三平東","去宮
居戎","khiung
kiung",gōng,gung1
融,U+878D,以開三平東,以戎,jung,róng,jung4
肜,U+809C,以開三平東,以戎,jung,chēn；róng,jung4
瀜,U+701C,以開三平東,以戎,jung,róng,jung4
雄,U+96C4,云開三平東,羽弓,iung,xióng,hung4
熊,U+718A,云開三平東,羽弓,iung,xióng,hung4
瞢,U+77A2,"明開一平登
明開三去東
明開三平東","武登
莫鳳
莫中","mong
miungh
miung",máng；mèng；méng,mung1；mung4
夢,U+5922,"明開三去東
明開三平東","莫鳳
莫中","miungh
miung",mèng；méng,mung4；mung6
𨞯,U+287AF,明開三平東,莫中,miung,,
懜,U+61DC,"明開一去登
明開一平東
明開三平東","武亘
莫紅
莫中","mongh
mung
miung",mèng；méng；měng,mung1；mung2；mung4；mung5
𦫰,U+26AF0,明開三平東,莫中,miung,méng,
𧲎,U+27C8E,明開三平東,莫中,miung,,
穹,U+7A79,溪開三平東,去宮,khiung,kōng；qióng；qiōng,kung4
𢞏,U+2278F,溪開三平東,去宮,khiung,qióng,
焪,U+712A,"溪開三去東
溪開三平東","去仲
去宮","khiungh
khiung",qióng,hung3
芎,U+828E,溪開三平東,去宮,khiung,qiōng；xiōng,gung1；hung1；kung4
𦵡,U+26D61,溪開三平東,去宮,khiung,gōng；xiōng,
𥳎,U+25CCE,"溪開三平東
溪開三平鍾
群開三平鍾","去宮
曲恭
渠容","khiung
khyung
gyung",qióng,
窮,U+7AAE,群開三平東,渠弓,giung,qióng,kung4
藭,U+85ED,群開三平東,渠弓,giung,qióng,kung4
𥨪,U+25A2A,群開三平東,渠弓,giung,qióng,
馮,U+99AE,"並開三平東
並開三平蒸","房戎
扶冰","biung
bing",féng；píng,fung4；pang4
堸,U+5838,並開三平東,房戎,biung,féng,fung4
汎,U+6C4E,"並開三平東
滂合三去凡","房戎
孚梵","biung
phyamh",fàn；fá,faan3；faan4；faan6
芃,U+8283,"並開一平東
並開三平東","薄紅
房戎","bung
biung",péng,pung4
𨝭,U+2876D,並開三平東,房戎,biung,féng,
渢,U+6E22,並開三平東,房戎,biung,fán；féng,fung1；fung4
梵,U+68B5,"並合三去凡
並開三平東","扶泛
房戎","byamh
biung",fàn,faan4；faan6
風,U+98A8,"幫開三去東
幫開三平東","方鳳
方戎","piungh
piung",fèng；fēng；fěng,fung1；fung3
飌,U+98CC,幫開三平東,方戎,piung,fēng,fung1；fung3
楓,U+6953,幫開三平東,方戎,piung,fán；fēng,fung1
猦,U+7326,幫開三平東,方戎,piung,fēng,fung1
偑,U+5051,幫開三平東,方戎,piung,fēng,fung1
檒,U+6A92,幫開三平東,方戎,piung,fēng,fung1
𧆉,U+27189,幫開三平東,方戎,piung,fēng,
豐,U+8C50,滂開三平東,敷空,phiung,fēng,fung1
酆,U+9146,滂開三平東,敷空,phiung,fēng,fung1
蘴,U+8634,"滂開三平東
滂開三平鍾","敷空
敷容","phiung
phyung",fēng；sōng,fung1
灃,U+7043,滂開三平東,敷空,phiung,fēng,fung1
寷,U+5BF7,滂開三平東,敷空,phiung,fēng,fung1
麷,U+9EB7,"滂開三去東
滂開三平東","撫鳳
敷空","phiungh
phiung",fēng,fung1
㒥,U+34A5,滂開三平東,敷空,phiung,fēng,fung1
㠦,U+3826,滂開三平東,敷空,phiung,fēng,fung1
充,U+5145,昌開三平東,昌終,chjung,chōng,cung1
珫,U+73EB,昌開三平東,昌終,chjung,chōng,cung1
茺,U+833A,昌開三平東,昌終,chjung,chōng,cung1
㤝,U+391D,昌開三平東,昌終,chjung,chōng,cung1
䘪,U+462A,昌開三平東,昌終,chjung,chōng,cung1
𪎽,U+2A3BD,"昌開三平東
透開一去冬","昌終
他綜","chjung
thuungh",chōng,
㳘,U+3CD8,昌開三平東,昌終,chjung,chōng,cung1
隆,U+9686,來開三平東,力中,liung,lóng；lōng,lung4
癃,U+7643,來開三平東,力中,liung,lóng,lung4
𪔳,U+2A533,來開三平東,力中,liung,lóng,
窿,U+7ABF,來開三平東,力中,liung,long；lóng,lung1；lung4
霳,U+9733,來開三平東,力中,liung,lóng,lung4
㚅,U+3685,來開三平東,力中,liung,lóng,lung4
空,U+7A7A,"溪開一去東
溪開一平東","苦貢
苦紅","khungh
khung",kòng；kōng；kǒng,hung1；hung3
箜,U+7B9C,溪開一平東,苦紅,khung,kōng,hung1
崆,U+5D06,"溪開一平東
溪開二平江","苦紅
苦江","khung
khrung",kōng,hung1
椌,U+690C,"溪開一平東
溪開二平江","苦紅
苦江","khung
khrung",kōng；qiāng,hong1
硿,U+787F,溪開一平東,苦紅,khung,kòng；kōng,hung1
䅝,U+415D,溪開一平東,苦紅,khung,kōng,hung1
悾,U+60BE,"溪開一去東
溪開一平東
溪開二平江","苦貢
苦紅
苦江","khungh
khung
khrung",kōng；kǒng,hung1
埪,U+57EA,溪開一平東,苦紅,khung,kōng,hung1
倥,U+5025,"溪開一上東
溪開一去東
溪開一平東","康董
苦貢
苦紅","khungx
khungh
khung",kōng；kǒng,hung1；hung2
涳,U+6DB3,"娘開二平江
溪開一平東
溪開二平江","女江
苦紅
苦江","nrung
khung
khrung",kōng；náng,hung1
鵼,U+9D7C,溪開一平東,苦紅,khung,kōng,hung1
𦱇,U+26C47,溪開一平東,苦紅,khung,kōng,
𢃐,U+220D0,溪開一平東,苦紅,khung,kōng,
𧌆,U+27306,溪開一平東,苦紅,khung,kōng,
公,U+516C,見開一平東,古紅,kung,gōng,gung1；gung4
功,U+529F,見開一平東,古紅,kung,gōng,gung1
工,U+5DE5,見開一平東,古紅,kung,gōng,gung1
疘,U+7598,見開一平東,古紅,kung,gāng；gōng,gong1
蚣,U+86A3,"章開三平鍾
見開一平東","職容
古紅","cjyung
kung",gong；gōng；zhōng,gung1
