glyph,unicode,广韵信息,反切,polyhedron中古全拼,mandarin_pinyin,cantonese_jyutping
禨,U+79A8,"見開三去微
見開三平微","居豙
居依","kioih
kioi",jì；jī；qí,gei1
䟇,U+47C7,見開三平微,居依,kioi,jī；xī,gei1
鐖,U+9416,見開三平微,居依,kioi,jī；qí,gei1
僟,U+50DF,見開三平微,居依,kioi,jī,gei1
璣,U+74A3,見開三平微,居依,kioi,jī,gei1
𧗇,U+275C7,見開三平微,居依,kioi,,
希,U+5E0C,曉開三平微,香衣,hioi,xī,hei1
晞,U+665E,曉開三平微,香衣,hioi,xī,hei1
莃,U+8383,曉開三平微,香衣,hioi,xī,hei1
鵗,U+9D57,曉開三平微,香衣,hioi,xī,hei1
睎,U+774E,曉開三平微,香衣,hioi,xī,hei1
稀,U+7A00,曉開三平微,香衣,hioi,xī,hei1
豨,U+8C68,"曉開三上微
曉開三平微","虚豈
香衣","hioix
hioi",xī,hei1
𧻶,U+27EF6,曉開三平微,香衣,hioi,xī,
悕,U+6095,曉開三平微,香衣,hioi,xī,hei1
俙,U+4FD9,"曉開三上微
曉開三平微","虚豈
香衣","hioix
hioi",xī,hei1
欷,U+6B37,"曉開三去微
曉開三平微","許旣
香衣","hioih
hioi",xī,hei1
依,U+4F9D,影開三平微,於希,qioi,yī；yǐ,ji1；ji2
郼,U+90FC,影開三平微,於希,qioi,yī,ji1
衣,U+8863,"影開三去微
影開三平微","於旣
於希","qioih
qioi",yì；yī,ji1；ji3
繶,U+7E76,"影開三入蒸
影開三平微","於力
於希","qik
qioi",yì,jik1
㛄,U+36C4,影開三平微,於希,qioi,yī,ji1
㐆,U+3406,"影開三上欣
影開三平微","於謹
於希","qionx
qioi",yǐn,ji1
䧇,U+49C7,影開三平微,於希,qioi,yī；yǐ,ji1
㥋,U+394B,"影開三上微
影開三平微","於豈
於希","qioix
qioi",yī,ji1
沂,U+6C82,疑開三平微,魚衣,ngioi,yí；yín,an4；ji4；ngan4
溰,U+6EB0,疑開三平微,魚衣,ngioi,ái,ji4
巍,U+5DCD,疑合三平微,語韋,ngyoi,wēi,ai4；ngai4
犩,U+72A9,"疑合三去微
疑合三平微","魚貴
語韋","ngyoih
ngyoi",wéi,ai4；ngai4
歸,U+6B78,見合三平微,舉韋,kyoi,guī；kuì；kuí,gwai1
㱕,U+3C55,見合三平微,舉韋,kyoi,,gwai1
魚,U+9B5A,疑開三平魚,語居,ngio,yú,jyu2；jyu4
𩺰,U+29EB0,疑開三平魚,語居,ngio,wú；yú,
漁,U+6F01,疑開三平魚,語居,ngio,yú,jyu4
𩼪,U+29F2A,疑開三平魚,語居,ngio,,
䰻,U+4C3B,疑開三平魚,語居,ngio,yú,jyu4
䱷,U+4C77,疑開三平魚,語居,ngio,yú,jyu4
齬,U+9F6C,"疑開一平模
疑開三上魚
疑開三平魚","五乎
魚巨
語居","ngo
ngiox
ngio",wú；yǔ,jyu5
鋙,U+92D9,"疑開三上魚
疑開三平魚","魚巨
語居","ngiox
ngio",wú；yú；yǔ,jyu5；m4；ng4
䁩,U+4069,疑開三平魚,語居,ngio,yú,jyu4
衙,U+8859,"疑開三上魚
疑開三平魚
疑開二平麻","魚巨
語居
五加","ngiox
ngio
ngra",yá；yù；yú,aa4；ngaa4
初,U+521D,初開三平魚,楚居,chrio,chū,co1
𠿝,U+20FDD,初開三平魚,楚居,chrio,chū,
書,U+66F8,書開三平魚,傷魚,sjo,shū,syu1
鵨,U+9D68,書開三平魚,傷魚,sjo,shū,syu1
瑹,U+7479,書開三平魚,傷魚,sjo,shū；tū,syu1
舒,U+8212,書開三平魚,傷魚,sjo,shū；yù,syu1
𦺗,U+26E97,書開三平魚,傷魚,sjo,shū,
紓,U+7D13,"書開三平魚
船開三上魚","傷魚
神與","sjo
zsjox",shū,syu1
𨛭,U+286ED,書開三平魚,傷魚,sjo,shè；shū,
𡨢,U+21A22,見開三平魚,九魚,kio,jū,
据,U+636E,"見開三去魚
見開三平魚","居御
九魚","kioh
kio",jù；jū,geoi1；geoi3
裾,U+88FE,見開三平魚,九魚,kio,jù；jū,geoi1
琚,U+741A,見開三平魚,九魚,kio,jū,geoi1
䝻,U+477B,見開三平魚,九魚,kio,jū,geoi1
鶋,U+9D8B,見開三平魚,九魚,kio,jū,geoi1
車,U+8ECA,"昌開三平麻
見開三平魚","尺遮
九魚","chja
kio",chē；jū,ce1；geoi1
蜛,U+871B,見開三平魚,九魚,kio,jū,geoi1
崌,U+5D0C,見開三平魚,九魚,kio,jū,geoi1
椐,U+6910,"溪開三平魚
見開三去魚
見開三平魚","去魚
居御
九魚","khio
kioh
kio",jū,geoi1
涺,U+6DBA,見開三平魚,九魚,kio,jū,geoi1
𦱅,U+26C45,見開三平魚,九魚,kio,jū,
腒,U+8152,"群開三平魚
見開三平魚","強魚
九魚","gio
kio",jū,geoi1
渠,U+6E20,群開三平魚,強魚,gio,jù；qú,heoi5；keoi4；keoi5
𨎶,U+283B6,群開三平魚,強魚,gio,qú,
𦄽,U+2613D,群開三平魚,強魚,gio,qú,
璩,U+74A9,群開三平魚,強魚,gio,qú,keoi4
磲,U+78F2,群開三平魚,強魚,gio,qú,keoi4
蕖,U+8556,群開三平魚,強魚,gio,qú,keoi4
籧,U+7C67,群開三平魚,強魚,gio,jǔ；qú,geoi2；keoi4
𥴧,U+25D27,"群開三平魚
見開三上魚","強魚
居許","gio
kiox",jǔ,keoi4
淭,U+6DED,群開三平魚,強魚,gio,qú,keoi4
醵,U+91B5,"群開三入陽
群開三去魚
群開三平魚","其虐
其據
強魚","giak
gioh
gio",jù,geoi6；koek6
𪆫,U+2A1AB,群開三平魚,強魚,gio,,keoi4
螶,U+87B6,群開三平魚,強魚,gio,jù；qú,keoi4
蟝,U+87DD,群開三平魚,強魚,gio,qú,keoi2；keoi4
䝣,U+4763,群開三平魚,強魚,gio,qú,keoi4
豦,U+8C66,"群開三平魚
見開三去魚","強魚
居御","gio
kioh",jù,geoi3
蘧,U+8627,"群合三平虞
群開三平魚","其俱
強魚","gyo
gio",jù；qú,keoi4
鐻,U+943B,"群開三上魚
群開三平魚
見開三去魚","其吕
強魚
居御","giox
gio
kioh",jù；qú,geoi6；keoi4
璖,U+7496,群開三平魚,強魚,gio,qú,keoi4
𨞙,U+28799,群開三平魚,強魚,gio,qú,
㯫,U+3BEB,群開三平魚,強魚,gio,qú,keoi4
䟊,U+47CA,群開三平魚,強魚,gio,qú,keoi4
𦼫,U+26F2B,"群開三上魚
群開三平魚","其吕
強魚","giox
gio",qú,
䆽,U+41BD,群開三平魚,強魚,gio,qú,keoi4
𧝔,U+27754,群開三平魚,強魚,gio,qú,
懅,U+61C5,群開三平魚,強魚,gio,jù,keoi4
余,U+4F59,"以開三平魚
常開三平麻","以諸
視遮","jo
zja",tú；xú；yù；yú,ceoi4；jyu4
蜍,U+870D,"以開三平魚
常開三平魚","以諸
署魚","jo
zjo",chú；yú,ceoi4；cyu4；syu4
藇,U+85C7,"以開三上魚
以開三去魚
以開三平魚
心開三平魚
邪開三上魚","余吕
羊洳
以諸
相居
徐吕","jox
joh
jo
sio
zsiox",xù；xū；yù；yú；yǔ,jyu6；zeoi6
㶛,U+3D9B,以開三平魚,以諸,jo,yú,jyu4
餘,U+9918,以開三平魚,以諸,jo,yé；yú,jyu4
輿,U+8F3F,"以開三去魚
以開三平魚","羊洳
以諸","joh
jo",yù；yú,jyu4
旟,U+65DF,以開三平魚,以諸,jo,yú,jyu4
鵌,U+9D4C,"以開三平魚
定開一平模","以諸
同都","jo
do",tú,tou4
璵,U+74B5,以開三平魚,以諸,jo,yú,jyu4
艅,U+8245,以開三平魚,以諸,jo,yú,jyu4
畬,U+756C,以開三平魚,以諸,jo,shē；yú,jyu4；se1；se4
𤰩,U+24C29,以開三平魚,以諸,jo,,
𤄕,U+24115,以開三平魚,以諸,jo,,
歟,U+6B5F,"以開三上魚
以開三去魚
以開三平魚","余吕
羊洳
以諸","jox
joh
jo",yú,jyu4
與,U+8207,"以開三上魚
以開三去魚
以開三平魚","余吕
羊洳
以諸","jox
joh
jo",yù；yú；yǔ,jyu4；jyu5；jyu6
譽,U+8B7D,"以開三去魚
以開三平魚","羊洳
以諸","joh
jo",yù,jyu6
嬩,U+5B29,以開三平魚,以諸,jo,yú,jyu4
舁,U+8201,以開三平魚,以諸,jo,yú,jyu4
擧,U+64E7,以開三平魚,以諸,jo,jǔ,geoi2
妤,U+59A4,以開三平魚,以諸,jo,yú,jyu4
伃,U+4F03,以開三平魚,以諸,jo,xù；yú；yǔ,jyu4
㦛,U+399B,"以開三上魚
以開三平魚","余吕
以諸","jox
jo",yú；yǔ,jyu4
𪋮,U+2A2EE,"以開三去魚
以開三平魚","羊洳
以諸","joh
jo",yù,
予,U+4E88,"以開三上魚
以開三平魚","余吕
以諸","jox
jo",yú；yǔ；zhù,jyu4；jyu5
㺞,U+3E9E,以開三平魚,以諸,jo,yú,jyu4
𩦡,U+299A1,"以開三去魚
以開三平魚","羊洳
以諸","joh
jo",yú,
𧾚,U+27F9A,以開三平魚,以諸,jo,yú,
狳,U+72F3,以開三平魚,以諸,jo,yú,jyu4
鸒,U+9E12,"以開三去魚
以開三平魚","羊洳
以諸","joh
jo",yù,jyu4；jyu6
雓,U+96D3,以開三平魚,以諸,jo,yú,jyu4
胥,U+80E5,"心開三上魚
心開三平魚","私吕
相居","siox
sio",xū；xǔ,seoi1
䱬,U+4C6C,心開三平魚,相居,sio,xū,seoi1
䈝,U+421D,心開三平魚,相居,sio,xū,seoi1
稰,U+7A30,"心開三上魚
心開三平魚","私吕
相居","siox
sio",xū；xǔ,seoi2
楈,U+6948,"心開三上魚
心開三平魚","私吕
相居","siox
sio",xū,seoi1
諝,U+8ADD,"心開三上魚
心開三平魚","私吕
相居","siox
sio",xū,seoi1；seoi2
㥠,U+3960,"心開三上魚
心開三平魚","私吕
相居","siox
sio",xū,seoi1
湑,U+6E51,"心開三上魚
心開三平魚","私吕
相居","siox
sio",xù；xū；xǔ,seoi1；seoi2
蝑,U+8751,"心開三去麻
心開三平魚","司夜
相居","siah
sio",xiè；xū,seoi1
揟,U+63DF,心開三平魚,相居,sio,jū；xū,seoi1
疽,U+75BD,清開三平魚,七余,chio,jū；jǔ,zeoi1
岨,U+5CA8,清開三平魚,七余,chio,jū；jǔ；qū；zǔ,zeoi1；zeoi2
砠,U+7820,清開三平魚,七余,chio,jū；zū,zeoi1
䢸,U+48B8,清開三平魚,七余,chio,jū,zeoi1
趄,U+8D84,清開三平魚,七余,chio,jū；qiè,ce3；cit3；zeoi1
苴,U+82F4,"崇開二平麻
清開三平魚
精開三上魚
精開三平魚","鉏加
七余
子與
子魚","zra
chio
ciox
cio",bāo；chá；jiē；jū；xié；zhǎ；zū,caa4；zaa2；zeoi1
沮,U+6CAE,"從開三上魚
清開三平魚
精開三去魚
精開三平魚
莊開三平魚","慈吕
七余
將預
子魚
側魚","ziox
chio
cioh
cio
crio",jiān；jù；jū；jǔ；zǔ,zeoi1；zeoi2；zeoi3
狙,U+72D9,清開三平魚,七余,chio,jū,zeoi1
䏣,U+43E3,"清開三去魚
清開三平魚","七慮
七余","chioh
chio",jué,zeoi1
蛆,U+86C6,"清開三平魚
精開三平魚","七余
子魚","chio
cio",jū；qū,ceoi1；zeoi1
雎,U+96CE,清開三平魚,七余,chio,jū,zeoi1
蒩,U+84A9,"清開三平魚
精開一上模
精開一平模","七余
則古
則吾","chio
cox
co",jí；jù；zū,zou1
𣻐,U+23ED0,清開三平魚,七余,chio,jū,
伹,U+4F39,"從開一上模
清開三平魚","徂古
七余","zox
chio",qū；zù,ceoi1
坥,U+5765,"清開三去魚
清開三平魚","七慮
七余","chioh
chio",jù；qū,ceoi1
𡳆,U+21CC6,清開三平魚,七余,chio,qù；qū,
鉏,U+924F,"崇開三上魚
崇開三平魚","牀吕
士魚","zriox
zrio",chá；chú；jǔ；xú；zhù；zū,ceoi4；co4；zeoi2
鋤,U+92E4,崇開三平魚,士魚,zrio,chú；jǔ,co4
耡,U+8021,"崇開三去魚
崇開三平魚","牀據
士魚","zrioh
zrio",chú,co4
豠,U+8C60,崇開三平魚,士魚,zrio,chú,co4
𧱑,U+27C51,崇開三平魚,士魚,zrio,,
𪆷,U+2A1B7,崇開三平魚,士魚,zrio,chú,
攄,U+6504,徹開三平魚,丑居,thrio,lù；shū,su1；syu1
㯉,U+3BC9,徹開三平魚,丑居,thrio,huò,wok6
筡,U+7B61,"定開一平模
徹開三平魚","同都
丑居","do
thrio",tú,seoi5
摴,U+6474,徹開三平魚,丑居,thrio,chī；chū,syu1
䟽,U+47FD,"生開三去魚
生開三平魚","所去
所葅","srioh
srio",,so1
梳,U+68B3,生開三平魚,所葅,srio,shū,so1
綀,U+7D80,生開三平魚,所葅,srio,shū,so1
蔬,U+852C,生開三平魚,所葅,srio,shū；shǔ,so1
踈,U+8E08,生開三平魚,所葅,srio,shū,so1
𥿇,U+25FC7,"溪開三上魚
生開三平魚","羌舉
所葅","khiox
srio",shū,
𦌿,U+2633F,生開三平魚,所葅,srio,shī,
𤕟,U+2455F,生開三平魚,所葅,srio,shū,
㽰,U+3F70,生開三平魚,所葅,srio,shù,so1
疋,U+758B,"生開三上魚
生開三平魚
疑開二上麻","踈舉
所葅
五下","sriox
srio
ngrax",pǐ；shū；yǎ,aa5；ngaa5；pat1；so1
虚,U+865A,"曉開三平魚
溪開三平魚","朽居
去魚","hio
khio",xū,heoi1
驉,U+9A49,曉開三平魚,朽居,hio,xū,heoi1
歔,U+6B54,曉開三平魚,朽居,hio,xū,heoi1
噓,U+5653,"曉開三去魚
曉開三平魚","許御
朽居","hioh
hio",xū,heoi1；hoe1；syu4
魖,U+9B56,曉開三平魚,朽居,hio,xū,heoi1
𥛳,U+256F3,曉開三平魚,朽居,hio,,
徐,U+5F90,邪開三平魚,似魚,zsio,xú,ceoi4
䣄,U+48C4,"定開一平模
邪開三平魚","同都
似魚","do
zsio",tú,tou4
䍱,U+4371,邪開三平魚,似魚,zsio,xú,ceoi4
俆,U+4FC6,邪開三平魚,似魚,zsio,shū；xú,ceoi4；syu1
於,U+65BC,"影開一平模
影開三平魚","哀都
央居","qo
qio",wū；yú；yū,jyu1；wu1
扵,U+6275,影開三平魚,央居,qio,yú,jyu1；wu1
箊,U+7B8A,影開三平魚,央居,qio,yū,jyu1
淤,U+6DE4,"影開三去魚
影開三平魚","依倨
央居","qioh
qio",yū,ji1；jyu1；jyu2
唹,U+5539,影開三平魚,央居,qio,yū,jyu1
豬,U+8C6C,知開三平魚,陟魚,trio,zhū,zyu1
䐗,U+4417,知開三平魚,陟魚,trio,dǔ；zhū,zyu1
猪,U+732A,知開三平魚,陟魚,trio,zhū,zyu1
瀦,U+7026,知開三平魚,陟魚,trio,zhū,zyu1
櫫,U+6AEB,知開三平魚,陟魚,trio,zhū,zyu1
藸,U+85F8,"澄開三平魚
知開三平魚","直魚
陟魚","drio
trio",chú；zhā；zhū,cyu4；zyu1
臚,U+81DA,來開三平魚,力居,lio,lú；lǚ,lou4
閭,U+95AD,來開三平魚,力居,lio,lǘ,leoi4；leoi5
䰕,U+4C15,"來開一平模
來開三平魚","落胡
力居","lo
lio",lú,lou4
廬,U+5EEC,來開三平魚,力居,lio,lú；lǘ,lou4
蘆,U+8606,"來開一平模
來開三平魚","落胡
力居","lo
lio",lu；lú；lǔ,lou2；lou4
櫚,U+6ADA,來開三平魚,力居,lio,lǘ,leoi3；leoi4
驢,U+9A62,來開三平魚,力居,lio,lǘ,leoi2；leoi4；lou4
藘,U+85D8,來開三平魚,力居,lio,lǘ,leoi4
䕡,U+4561,來開三平魚,力居,lio,lǘ,leoi4
爈,U+7208,來開三平魚,力居,lio,lǜ,leoi4
𤁵,U+24075,來開三平魚,力居,lio,lǘ,
㠠,U+3820,來開三平魚,力居,lio,lú,leoi4
櫖,U+6AD6,"來開三去魚
來開三平魚","良倨
力居","lioh
lio",chū；lǜ,leoi6
璷,U+74B7,來開三平魚,力居,lio,fū；lú,leoi4
䮉,U+4B89,來開三平魚,力居,lio,lú,leoi6
𥶆,U+25D86,來開三平魚,力居,lio,lǘ,
𢣻,U+228FB,來開三平魚,力居,lio,lǘ,
諸,U+8AF8,"章開三平魚
章開三平麻","章魚
正奢","cjo
cja",chú；zhū,zyu1
櫧,U+6AE7,章開三平魚,章魚,cjo,zhū,zyu1
㶆,U+3D86,章開三平魚,章魚,cjo,chú；zhū,zyu1
藷,U+85F7,"常開三去魚
章開三平魚","常恕
章魚","zjoh
cjo",shǔ；zhū,syu4
𧄔,U+27114,"常開三平魚
章開三平魚","署魚
章魚","zjo
cjo",shǔ,
䃴,U+40F4,章開三平魚,章魚,cjo,zhū,zyu1
蠩,U+8829,章開三平魚,章魚,cjo,chú；zhū,zyu1
除,U+9664,"澄開三去魚
澄開三平魚","遟倨
直魚","drioh
drio",chú；shū；zhù,ceoi4；cyu4
躇,U+8E87,澄開三平魚,直魚,drio,chuò；chú,coek3；cyu4
儲,U+5132,澄開三平魚,直魚,drio,chú；chǔ,cyu5
涂,U+6D82,"定開一平模
澄開三平魚
澄開二平麻","同都
直魚
宅加","do
drio
dra",chú；tu；tú；yé,ceoi4；tou4
篨,U+7BE8,澄開三平魚,直魚,drio,chú,ceoi4；cyu4
𦿀,U+26FC0,澄開三平魚,直魚,drio,chú,
宁,U+5B81,"泥開四平青
澄開三上魚
澄開三平魚","奴丁
直吕
直魚","neng
driox
drio",nìng；níng；zhù,cyu5；ling4；ling6；ning4；ning6
㾻,U+3FBB,"徹開三去魚
澄開三去魚
澄開三平魚","抽據
遟倨
直魚","thrioh
drioh
drio",chú；zhù,zyu6
著,U+8457,"澄開三入陽
澄開三平魚
知開三上魚
知開三入陽
知開三去魚","直略
直魚
丁吕
張略
陟慮","driak
drio
triox
triak
trioh",chú；zhe；zhuó；zháo；zhù；zhāo,zoek3；zoek6；zyu3
滁,U+6EC1,澄開三平魚,直魚,drio,chú,ceoi4；cyu4
蒢,U+84A2,澄開三平魚,直魚,drio,chú,ceoi4
屠,U+5C60,"定開一平模
澄開三平魚","同都
直魚","do
drio",tú,tou4
如,U+5982,"日開三去魚
日開三平魚","人恕
人諸","njoh
njo",rú,jyu4
蒘,U+8498,"娘開三平魚
娘開二平麻
日開三平魚","女余
女加
人諸","nrio
nra
njo",ná；rú,leoi4；neoi4
𨚴,U+286B4,日開三平魚,人諸,njo,rú,
洳,U+6D33,"日開三去魚
日開三平魚","人恕
人諸","njoh
njo",rù；rú,jyu6
鴽,U+9D3D,日開三平魚,人諸,njo,rú,jyu4
𨾵,U+28FB5,日開三平魚,人諸,njo,,
𡫽,U+21AFD,"影開三去魚
日開三上魚
日開三平魚","依倨
人渚
人諸","qioh
njox
njo",rǔ；yù,
茹,U+8339,"日開三上魚
日開三去魚
日開三平魚","人渚
人恕
人諸","njox
njoh
njo",rú,jyu4
且,U+4E14,"清開三上麻
精開三平魚","七也
子魚","chiax
cio",cú；jū；qiě,ce2；cou4；zeoi1
墟,U+589F,溪開三平魚,去魚,khio,xū,heoi1
𥬔,U+25B14,溪開三平魚,去魚,khio,qū,
袪,U+88AA,溪開三平魚,去魚,khio,qū,keoi1
阹,U+9639,溪開三平魚,去魚,khio,qū,keoi1
胠,U+80E0,"溪開三入嚴
溪開三去魚
溪開三平魚","去劫
丘倨
去魚","khiap
khioh
khio",qū,keoi1
魼,U+9B7C,"溪開三平魚
透開一入談","去魚
吐盍","khio
thap",qū；xié,keoi1
㠊,U+380A,溪開三平魚,去魚,khio,qū,heoi1
𢴮,U+22D2E,溪開三平魚,去魚,khio,qū,
㭕,U+3B55,溪開三平魚,去魚,khio,qū,keoi1
䒧,U+44A7,"溪開三去魚
溪開三平魚","丘倨
去魚","khioh
khio",qù；qū,keoi1
菹,U+83F9,莊開三平魚,側魚,crio,jù；jū；zū,zeoi1
𧄗,U+27117,莊開三平魚,側魚,crio,,
䶥,U+4DA5,"崇開二平麻
莊開三平魚
莊開二平麻","鉏加
側魚
側加","zra
crio
cra",chǔ；jǔ；zhā,zaa1；zeoi2
袽,U+88BD,娘開三平魚,女余,nrio,rú,jyu4
帤,U+5E24,娘開三平魚,女余,nrio,rú,jyu4
𣭠,U+23B60,娘開三平魚,女余,nrio,rú,
𣖹,U+235B9,娘開三平魚,女余,nrio,rú,
挐,U+6310,"娘開三平魚
娘開二平麻","女余
女加","nrio
nra",ná；nú；rú,jyu4；laa4；laau4；naa4；naau4
虞,U+865E,疑合三平虞,虞俱,ngyo,yú,jyu4
𩦢,U+299A2,疑合三平虞,虞俱,ngyo,yú,jyu4
愚,U+611A,疑合三平虞,虞俱,ngyo,yú,jyu4
娛,U+5A1B,"疑合三平虞
疑開一去模","虞俱
五故","ngyo
ngoh",yú,jyu4
湡,U+6E61,疑合三平虞,虞俱,ngyo,yú,jyu4
堣,U+5823,疑合三平虞,虞俱,ngyo,yú,jyu4
𪃍,U+2A0CD,疑合三平虞,虞俱,ngyo,yú,
嵎,U+5D4E,疑合三平虞,虞俱,ngyo,yú,jyu4
髃,U+9AC3,"疑合三平虞
疑開一上侯","虞俱
五口","ngyo
ngux",yú,jyu4
禺,U+79BA,"疑合三去虞
疑合三平虞","牛具
虞俱","ngyoh
ngyo",yù；yú,jyu4
隅,U+9685,疑合三平虞,虞俱,ngyo,yú,jyu4；jyu6
䴁,U+4D01,"疑合三去虞
疑合三平虞","牛具
虞俱","ngyoh
ngyo",yù；yú,jyu6
鍝,U+935D,疑合三平虞,虞俱,ngyo,yú,jyu4
澞,U+6F9E,疑合三平虞,虞俱,ngyo,yú,jyu4
𧍪,U+2736A,疑合三平虞,虞俱,ngyo,yú,
㷒,U+3DD2,疑合三平虞,虞俱,ngyo,yú,jyu4
齵,U+9F75,"疑合三平虞
疑開一平侯","虞俱
五婁","ngyo
ngu",yú；óu,jyu4
鸆,U+9E06,疑合三平虞,虞俱,ngyo,yú,jyu4
𨜖,U+28716,疑合三平虞,虞俱,ngyo,yú,
芻,U+82BB,初合三平虞,測隅,chryo,chú；zōu,co1
犓,U+7293,初合三平虞,測隅,chryo,chú,co1
無,U+7121,明合三平虞,武夫,myo,mó；wú,mo4；mou4
毋,U+6BCB,明合三平虞,武夫,myo,móu；wú,mou4
瞴,U+77B4,"明合三上虞
明合三平虞","文甫
武夫","myox
myo",mí；móu；wǔ,mou4
膴,U+81B4,"明合三上虞
明合三平虞
曉開一平模","文甫
武夫
荒烏","myox
myo
ho",hū；méi；wǔ,fu1；mou5
蕪,U+856A,明合三平虞,武夫,myo,wú；wǔ,mou4
誣,U+8AA3,明合三平虞,武夫,myo,wū,mou4
巫,U+5DEB,明合三平虞,武夫,myo,wū,mou4
莁,U+8381,明合三平虞,武夫,myo,wú,mou4
璑,U+7491,明合三平虞,武夫,myo,wú,mou4
𨼊,U+28F0A,明合三平虞,武夫,myo,wú,
䉑,U+4251,"明合三平虞
明開一平模","武夫
莫胡","myo
mo",wú,mou4
鷡,U+9DE1,明合三平虞,武夫,myo,wú,mou4
𦌬,U+2632C,"明合三上虞
明合三平虞","文甫
武夫","myox
myo",wú；wǔ,
蝥,U+8765,"明合三去虞
明合三平虞
明開三平尤
明開二平肴","亡遇
武夫
莫浮
莫交","myoh
myo
miu
mrau",máo；wù；wú,maau4
𢜮,U+2272E,"明合三上虞
明合三平虞
明開一上模","文甫
武夫
莫補","myox
myo
mox",wǔ,
无,U+65E0,"明合三平虞
明開一平模","武夫
莫胡","myo
mo",mó；wú,mo4；mou4
𢃀,U+220C0,明合三平虞,武夫,myo,wú,
譕,U+8B55,明合三平虞,武夫,myo,mó；wú,mou4
墲,U+58B2,"明合三平虞
明開一平模
滂開一平模","武夫
莫胡
普胡","myo
mo
pho",mú；wú,mou4
鵐,U+9D50,明合三平虞,武夫,myo,wú,mou4
憮,U+61AE,"明合三上虞
明合三平虞","文甫
武夫","myox
myo",wú；wǔ,mou5
䍢,U+4362,明合三平虞,武夫,myo,wú,mou5
于,U+4E8E,"云合三平虞
影開一平模
影開三平魚","羽俱
哀都
央居","yo
qo
qio",wéi；xū；yú；yū,jyu1；jyu4
迂,U+8FC2,"云合三平虞
影合三上虞
影合三平虞","羽俱
於武
憶俱","yo
qyox
qyo",yū,jyu1
盂,U+76C2,云合三平虞,羽俱,yo,yú,jyu1；jyu4
邘,U+9098,云合三平虞,羽俱,yo,yú,jyu1
雩,U+96E9,"云合三平虞
曉合三平虞","羽俱
況于","yo
hyo",xū；yù；yú,jyu4；jyu6
𦏴,U+263F4,云合三平虞,羽俱,yo,,
竽,U+7AFD,云合三平虞,羽俱,yo,yú,jyu1；jyu4
玗,U+7397,云合三平虞,羽俱,yo,yú,jyu1
芋,U+828B,"云合三去虞
云合三平虞","王遇
羽俱","yoh
yo",xū；yù；yú；yǔ,jyu1；wu2；wu6
汙,U+6C59,"云合三平虞
影開一去模","羽俱
烏路","yo
qoh",wā；wū；yú；yū,waa1；wu1；wu3
䣿,U+48FF,"云合三平虞
影合三平虞
曉合三平虞","羽俱
憶俱
況于","yo
qyo
hyo",yū,jyu4
杅,U+6745,云合三平虞,羽俱,yo,wū；yú,jyu1
釪,U+91EA,云合三平虞,羽俱,yo,huá；yú,waa4
𧘘,U+27618,云合三平虞,羽俱,yo,,
骬,U+9AAC,云合三平虞,羽俱,yo,yú,jyu4
𠌶,U+20336,"云合三平虞
曉合三平虞","羽俱
況于","yo
hyo",,
謣,U+8B23,云合三平虞,羽俱,yo,xū；yú,jyu4
䩒,U+4A52,"云合三平虞
影合三平虞
曉合三平虞","羽俱
憶俱
況于","yo
qyo
hyo",yú,jyu4
䢓,U+4893,云合三平虞,羽俱,yo,yú,jyu4
𦱃,U+26C43,云合三平虞,羽俱,yo,yú,
訏,U+8A0F,曉合三平虞,況于,hyo,xū；xǔ,heoi1；heoi2
吁,U+5401,"云合三去虞
以合三去虞
曉合三平虞","王遇
羊戍
況于","yoh
jyoh
hyo",xū；yù；yū,heoi1；joek6；jyu1；jyu6
欨,U+6B28,"曉合三上虞
曉合三平虞","況羽
況于","hyox
hyo",xū,heoi1；heoi2
㽳,U+3F73,曉合三平虞,況于,hyo,xū,heoi1
盱,U+76F1,曉合三平虞,況于,hyo,xū,heoi1
𧙆,U+27646,曉合三平虞,況于,hyo,xū,
𥈈,U+25208,曉合三平虞,況于,hyo,xū,
姁,U+59C1,"曉合三上虞
曉合三去虞
曉合三平虞
群合三平虞","況羽
香句
況于
其俱","hyox
hyoh
hyo
gyo",xū；xǔ,heoi1；heoi2
𦀒,U+26012,"曉合三上虞
曉合三平虞","況羽
況于","hyox
hyo",,
扜,U+625C,"影合三平虞
曉合三平虞","憶俱
況于","qyo
hyo",wū；yū,jyu1
荂,U+8342,"曉合三平虞
滂合三平虞","況于
芳無","hyo
phyo",fū,fu1
𢖳,U+225B3,曉合三平虞,況于,hyo,xū,
旴,U+65F4,曉合三平虞,況于,hyo,xū,heoi1
㰭,U+3C2D,曉合三平虞,況于,hyo,xū,heoi1
虖,U+8656,"匣開一平模
曉合三平虞
曉開一平模","戸吳
況于
荒烏","gho
hyo
ho",hù；hú；hū,fu1；fu4
𥈸,U+25238,曉合三平虞,況于,hyo,guī,
衢,U+8862,群合三平虞,其俱,gyo,qú,keoi4
劬,U+52AC,群合三平虞,其俱,gyo,qú,keoi4
軥,U+8EE5,"群合三平虞
見開一去侯
見開一平侯","其俱
古候
古侯","gyo
kuh
ku",gòu；gōu；jū；qú,gau1；keoi4
氍,U+6C0D,群合三平虞,其俱,gyo,qú,keoi4
眗,U+7717,"群合三平虞
見合三平虞","其俱
舉朱","gyo
kyo",jū；kōu；xū,geoi1
䧁,U+49C1,"曉合三上虞
群合三平虞","況羽
其俱","hyox
gyo",xǔ,heoi2
